Time,Channel0,Channel1,Unit: s
10.80436,1,1,
10.85290416,0,1,
10.85535616,0,0,
10.90290384,1,0,
10.90435248,1,1,
10.95290352,0,1,
10.95534864,0,0,
11.00290336,1,0,
11.00434496,1,1,
11.05290304,0,1,
11.05534128,0,0,
11.10290288,1,0,
11.1043376,1,1,
11.15290256,0,1,
11.15533376,0,0,
11.20290224,1,0,
11.20433008,1,1,
11.25290208,0,1,
11.25532624,0,0,
11.30290176,1,0,
11.30432256,1,1,
11.35290144,0,1,
11.35531872,0,0,
11.40290128,1,0,
11.40431504,1,1,
11.45290096,0,1,
11.4553112,0,0,
11.50290064,1,0,
11.50430752,1,1,
11.55290048,0,1,
11.55530384,0,0,
11.60290016,1,0,
11.60430016,1,1,
11.6529,0,1,
11.65529632,0,0,
11.70289968,1,0,
11.70429264,1,1,
11.75289936,0,1,
11.7552888,0,0,
11.8028992,1,0,
11.80428512,1,1,
11.85289888,0,1,
11.85528128,0,0,
11.90289856,1,0,
11.9042776,1,1,
11.9528984,0,1,
11.95527392,0,0,
12.00289808,1,0,
12.00427008,1,1,
12.05289776,0,1,
12.0552664,0,0,
12.1028976,1,0,
12.10426272,1,1,
12.15289728,0,1,
12.15525888,0,0,
12.20289712,1,0,
12.2042552,1,1,
12.2528968,0,1,
12.25525136,0,0,
12.30289648,1,0,
12.30424768,1,1,
12.35289632,0,1,
12.35524384,0,0,
12.402896,1,0,
12.40424016,1,1,
12.45289568,0,1,
12.45523632,0,0,
12.50289552,1,0,
12.50423264,1,1,
12.5528952,0,1,
12.55522896,0,0,
12.60289488,1,0,
12.60422528,1,1,
12.65289472,0,1,
12.65522144,0,0,
12.7028944,1,0,
12.70421776,1,1,
12.75289424,0,1,
12.75521392,0,0,
12.80289392,1,0,
12.80421024,1,1,
12.8528936,0,1,
12.8552064,0,0,
12.90289344,1,0,
12.90420272,1,1,
12.95289312,0,1,
12.95519888,0,0,
13.0028928,1,0,
13.0041952,1,1,
13.05289264,0,1,
13.05519136,0,0,
13.10289232,1,0,
13.10418768,1,1,
13.152892,0,1,
13.155184,0,0,
13.20289184,1,0,
13.20418032,1,1,
13.25289152,0,1,
13.25517648,0,0,
13.30289136,1,0,
13.3041728,1,1,
13.35289104,0,1,
13.35516896,0,0,
13.40289072,1,0,
13.40416528,1,1,
13.45289056,0,1,
13.45516144,0,0,
13.50289024,1,0,
13.50415776,1,1,
13.55288992,0,1,
13.55515392,0,0,
13.60288976,1,0,
13.60415024,1,1,
13.65288944,0,1,
13.65514656,0,0,
13.70288928,1,0,
13.70414272,1,1,
13.75288896,0,1,
13.75513904,0,0,
13.80288864,1,0,
13.80413536,1,1,
13.85288848,0,1,
13.85513152,0,0,
13.90288816,1,0,
13.90412784,1,1,
13.95288784,0,1,
13.955124,0,0,
14.00288768,1,0,
14.00412032,1,1,
14.05288736,0,1,
14.05511648,0,0,
14.10288704,1,0,
14.1041128,1,1,
14.15288688,0,1,
14.15510912,0,0,
14.20288656,1,0,
14.20410528,1,1,
14.2528864,0,1,
14.2551016,0,0,
14.30288608,1,0,
14.30409792,1,1,
14.35288576,0,1,
14.35509408,0,0,
14.4028856,1,0,
14.4040904,1,1,
14.45288528,0,1,
14.45508656,0,0,
14.50288496,1,0,
14.50408288,1,1,
14.5528848,0,1,
14.55507904,0,0,
14.60288448,1,0,
14.60507536,1,1,
14.65288416,0,1,
14.65507152,0,0,
14.702884,1,0,
14.70506784,1,1,
14.75288368,0,1,
14.755064,0,0,
14.80288352,1,0,
14.80506032,1,1,
14.8528832,0,1,
14.85505664,0,0,
14.90288288,1,0,
14.9050528,1,1,
14.95288272,0,1,
14.95504912,0,0,
15.0028824,1,0,
15.00504528,1,1,
15.05288208,0,1,
15.0550416,0,0,
15.10288192,1,0,
15.10503792,1,1,
15.1528816,0,1,
15.15503408,0,0,
15.20288128,1,0,
15.2050304,1,1,
15.25288112,0,1,
15.25502672,0,0,
15.3028808,1,0,
15.30502288,1,1,
15.35288048,0,1,
15.3550192,0,0,
15.40288032,1,0,
15.40501536,1,1,
15.45288,0,1,
15.45501168,0,0,
15.50287984,1,0,
15.50500784,1,1,
15.55287952,0,1,
15.55500416,0,0,
15.6028792,1,0,
15.60500032,1,1,
15.65287904,0,1,
15.65499664,0,0,
15.70287872,1,0,
15.70499296,1,1,
15.7528784,0,1,
15.75498912,0,0,
15.80287824,1,0,
15.80498544,1,1,
15.85287792,0,1,
15.8549816,0,0,
15.9028776,1,0,
15.90497792,1,1,
15.95287744,0,1,
15.95497424,0,0,
16.00287712,1,0,
16.0049704,1,1,
16.05287696,0,1,
16.05496672,0,0,
16.10287664,1,0,
16.10496288,1,1,
16.15287632,0,1,
16.1549592,0,0,
16.20287616,1,0,
16.20495552,1,1,
16.25287584,0,1,
16.25495168,0,0,
16.30287552,1,0,
16.304948,1,1,
16.35287536,0,1,
16.35494416,0,0,
16.40287504,1,0,
16.40494048,1,1,
16.45287472,0,1,
16.4549368,0,0,
16.50287456,1,0,
16.50493296,1,1,
16.55287424,0,1,
16.55492928,0,0,
16.60287408,1,0,
16.60492544,1,1,
16.65287376,0,1,
16.65492176,0,0,
16.70287344,1,0,
16.70491792,1,1,
16.75287328,0,1,
16.75491424,0,0,
16.80287296,1,0,
16.80491056,1,1,
16.85287264,0,1,
16.85490672,0,0,
16.90287248,1,0,
16.90490304,1,1,
16.95287216,0,1,
16.9548992,0,0,
17.00287184,1,0,
17.00489552,1,1,
17.05287168,0,1,
17.05489184,0,0,
17.10287136,1,0,
17.104888,1,1,
17.15287104,0,1,
17.15488432,0,0,
17.20287088,1,0,
17.20488048,1,1,
17.25287056,0,1,
17.2548768,0,0,
17.3028704,1,0,
17.30487296,1,1,
17.35287008,0,1,
17.35486928,0,0,
17.40286976,1,0,
17.4048656,1,1,
17.4528696,0,1,
17.45486176,0,0,
17.50286928,1,0,
17.50485808,1,1,
17.55286896,0,1,
17.5548544,0,0,
17.6028688,1,0,
17.60485056,1,1,
17.65286848,0,1,
17.65484688,0,0,
17.70286816,1,0,
17.70484304,1,1,
17.752868,0,1,
17.75483936,0,0,
17.80286768,1,0,
17.80483552,1,1,
17.85286752,0,1,
17.85483184,0,0,
17.9028672,1,0,
17.90482816,1,1,
17.95286688,0,1,
17.95482432,0,0,
18.00286672,1,0,
18.00482064,1,1,
18.0528664,0,1,
18.05481696,0,0,
18.10286608,1,0,
18.10481312,1,1,
18.15286592,0,1,
18.15480944,0,0,
